"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 22 21:26:05 IST 2022","Tue Nov 22 21:26:13 IST 2022","7578","","","","","","To verify user is able to regiter and login",""
"passed","Tue Nov 22 21:25:47 IST 2022","Tue Nov 22 21:26:01 IST 2022","14251","","","","","","To verify user is able to comment on news",""
"passed","Tue Nov 22 21:24:40 IST 2022","Tue Nov 22 21:25:07 IST 2022","26844","","","","","","To verify user is able to add notebooks product to wishlist",""
"passed","Tue Nov 22 21:25:11 IST 2022","Tue Nov 22 21:25:43 IST 2022","31554","","","","","","To verify user is able to add product to cart and checkout",""
"passed","Tue Nov 22 21:26:17 IST 2022","Tue Nov 22 21:26:29 IST 2022","11623","","","","","","To verify user is able to search a product",""
